video,caption
50766_NTuQnnzMmMs.mp4,"a video of a woman wearing a video editing program"
9019_E6XksvWUJm4.mp4,"a man in a suit is holding up a remote"
15471_3jZzMg8m300.mp4,"the title says how to win a horse race with money"
6421_4hewzLSXvJI.mp4,"real vision crypto - en-gb - fb"
1721_uLdoEO4xtDU.mp4,"two men are talking with a shelf full of plants"
4083_YEuiaAKpGdI.mp4,"north korea's kim jong-un talks to a soldier"
6554_CByxMKTxG34.mp4,"green tennis court mat china mainland"
53352_WYmXYq6hwsg.mp4,"the camera shows cars driving through a parking garage"
21437_LGOBfEjamjc.mp4,"a boy walks along an open street where there are trucks and a house"
16826_bvvPuDVwkt0.mp4,"an image of the league of legends game"
10465_yCAmCCQ5yC0.mp4,"the code in the windows editor"
7276_dEZwzZYuWlA.mp4,"cut open kiwi, from fpg"
50385_gv4TxhErj9E.mp4,"a news report on the bridges in a city"
10166_LLaUpTRpUs8.mp4,"a black background with the text'symphony beyond'"
21734_9mCb4VywJP8.mp4,"drones with a propeller that is attached to a wing"
52484_ghbdjeOUZus.mp4,"frogs jumping into fish tank"
55496_VBSBgWwa8Dg.mp4,"a man teaches a young girl how to buy at the market"
2679_yDfWJlaDsOY.mp4,"a screen shot of a language app that is in korean"
17586_JrU7KevMdnQ.mp4,"4 slender green beans in a plastic container with an image of food"
25847_X7qdcnKMbM4.mp4,"a woman wearing a mask and a jacket walking around"
54651_8fXGMGr3y4Q.mp4,"a group of people dancing in the living room"
18018_n80Ny8bb2is.mp4,"curtain in room with car and yellow curtain in the background"
5417_akFtIvIoQHA.mp4,"super mario bros - screenshot thumbnail"
50281_X2NQhjWImAU.mp4,"kindermaster volunteers distribute fruits and candy to poor children at a shelter home in the karimganj"
53630_V2l2G5fo3XQ.mp4,"le vol de femmes dans l'espace acte de obedience"
471_fLfDP8ECqwU.mp4,"this living room is decorated in chinese"
50179_uR55RutsuGw.mp4,"a baby is standing and looking at a dog on the floor"
25742_raMOJLEozQI.mp4,"man shoveling trash out of a black garbage can"
14339_Asa0Zsv6Kns.mp4,"a page with information about the window treatments in chinese"
52495_JrmW9ZRryJE.mp4,"a japanese cartoon showing an animated image of a man"
7059_XSajknAfaPE.mp4,"one man is working on a metal table and some tools"
17995_4r5Pjpldnd8.mp4,"chinese website screen is shown"
5462_W6QfQOxy64U.mp4,"man and woman sitting on a couch talking to each other in chinese"
18822_8fyDEiOMhtU.mp4,"a number of different kinds of lifting equipment"
12644_i8GWOB6yTH8.mp4,"a small kitchen with a sink in a wall"
12126_r4CRyk7dyJ4.mp4,"three girls in purple playing lacrosse on the field"
21923_pFrNiTVSWGQ.mp4,"three pink pillows and a sheet in the bedroom"
54328_DQ4ezCRmj1I.mp4,"a child playing with a board game"
2044_OmeF59YAWUw.mp4,"a man using a pool skimmer to clean the water in his swimming pool"
4335_hVgaZCWrH_M.mp4,"a mannequin standing next to a set of large racks"
18799_9josQgMiDCs.mp4,"a chart showing the different types of text"
3223_dGB2H0Ixoxw.mp4,"korean chef tries to make korean pork intestine bibimbap"
25787_csSF8AtQpXM.mp4,"a man riding a bike through the woods"
18694_U2YmweqVKeY.mp4,"google chrome green desktop theme ui"
23068_CSNgaIIy8TA.mp4,"two chickens are eating food from a pipe outside"
2472_2d9Ot2cI8k8.mp4,"jeanie channel video tutorial on how to thread a sewing machine"
14008_1hwJCfIGuqg.mp4,"a cartoon image of business people in front of a table"
12697_90DI7TOefgM.mp4,"astronaut in space helmet and spacesuit laying down next to other people"
9223_2pLuJakchpY.mp4,"a person is making a steak on top of a pan"
18659_s4Kttb1WaJE.mp4,"russia's big techs bans from apple"
53808_3oYlliCLBmM.mp4,"a pile of wood is tied together by rope"
8703_C1vp0M0nydc.mp4,"person using an electronic meter to make measurements"
26308_Vm4P3314Shs.mp4,"chinese people's faces are covered when visiting the doctor during the coronavirus outbreak"
12897_0o1U2U9pgh8.mp4,"a video logo on a dark background with a clap"
55424_QmyPGmmvYDc.mp4,"chinese speaking doctor talking with a woman in a library"
